,param_name,"('rank', 'EFLX_LH_TOT')","('rank', 'FIRE')","('rank', 'FSA')","('rank', 'FSH')","('rank', 'LAC')","('rank', 'Q2M')","('rank', 'TAUX')","('rank', 'TSA')","('rank', 'TSKIN')","('rank', 'U10')","('rank', 'albedo_allSW')","('total', '')",param,Description,Category1,Category2,Component,Notes
0,FUN_fracfixers,,2.0,,1.0,1.0,,,1.0,1.0,3.0,,9,FUN_fracfixers,fraction of carbon available for N fixation,Fixation and uptake of nitrogen,Plant nitrogen fixation and uptake,Plant,
1,accum_factor,,,2.0,,,1.0,,3.0,1.0,,3.0,10,accum_factor,Accumulation constant for fractional snow covered area,Snow processes,Snow processes,Snow,
2,baseflow_scalar,1.0,,,,,,,,,,,1,baseflow_scalar,Scalar multiplier for base flow rate,Hydrology,Soil and surface water hydrology,Soil,
3,br_mr,,,,,,,,,1.0,,,1,br_mr,Base rate for maintenance respiration,Plant respiration,Plant respiration,Plant,
4,bsw_sf,,3.0,3.0,,,1.0,,3.0,2.0,1.0,2.0,15,bsw_sf,Scalar adjustment factor for bsw,Hydrology,Soil and surface water hydrology,Soil,
5,cv,1.0,,,1.0,,2.0,,1.0,,,1.0,6,cv,Turbulent transfer coefficient between canopy surface and canopy air,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Plant canopy,
6,d_max,3.0,2.0,4.0,2.0,1.0,6.0,1.0,,,1.0,3.0,23,d_max,Dry surface layer (DSL) parameter,"Sensible, latent heat, and momentum fluxes",Soil and surface water hydrology,Soil,
7,decomp_depth_efolding,1.0,,,,,,,,,,,1,decomp_depth_efolding,depth control on decomposition rates,Decomposition,Soil decomposition,Soil,
8,denitrif_nitrateconc_coefficient,,,,,,,,,1.0,,,1,denitrif_nitrateconc_coefficient,coefficient for max denitrification rate based on nitrate concentration,External nitrogen cycle,Soil nitrogen cycle,Soil,
9,dleaf,1.0,,,1.0,,1.0,,,,,,3,dleaf,Characteristic dimension of leaves in the direction of wind flow,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Ecosystem,
10,e_ice,,,,,,,,,,1.0,,1,e_ice,ice impedance factor,Hydrology,Soil and surface water hydrology,Soil,
11,fbw,,,1.0,,,,,2.0,,,,3,fbw,Fraction of biomass that is water,Biomass heat storage,Biomass heat storage,Plant,
12,fff,6.0,4.0,1.0,5.0,,8.0,,,2.0,1.0,,27,fff,Decay factor for fractional saturated area,Hydrology,Soil and surface water hydrology,Soil,
13,frac_sat_soil_dsl_init,2.0,2.0,1.0,3.0,4.0,2.0,,,1.0,1.0,,16,frac_sat_soil_dsl_init,Fraction of saturated soil for moisture value at which DSL initiates,"Sensible, latent heat, and momentum fluxes",Soil and surface water hydrology,Soil,
14,frootcn,,,,,,,,,1.0,,,1,frootcn,Fine root C:N,Carbon and nitrogen allocation,Plant carbon and nitrogen allocation,Plant,
15,hksat_sf,2.0,1.0,,3.0,2.0,9.0,,2.0,2.0,,,21,hksat_sf,Scalar adjustment factor for hksat,Hydrology,Soil and surface water hydrology,Soil,
16,jmaxb0,11.0,10.0,6.0,9.0,,4.0,10.0,7.0,12.0,10.0,6.0,85,jmaxb0,the baseline proportion of nitrogen allocated for electron transport (J),Photosynthetic capacity,Plant photosynthetic capacity,Plant,
17,jmaxb1,,2.0,1.0,,,,,1.0,1.0,,,5,jmaxb1,determines response of electron transport rate to light availability,Photosynthetic capacity,Plant photosynthetic capacity,Plant,
18,jmaxse_sf,5.0,5.0,7.0,3.0,,,4.0,5.0,6.0,4.0,5.0,44,jmaxse_sf,Scale factor for jmaxse equation,Temperature acclimation,Plant temperature acclimation,Plant,
19,kcha,,,,1.0,,,,,1.0,1.0,,3,kcha,activation energy for kc,Temperature acclimation,Plant temperature acclimation,Plant,
20,kmax,7.0,2.0,1.0,4.0,,1.0,1.0,7.0,3.0,,,26,kmax,Plant segment max conductance,Plant hydraulics,Plant hydraulics,Plant,
21,krmax,2.0,,,1.0,,,,,,,,3,krmax,Root segment max conductance,Plant hydraulics,Plant hydraulics,Plant,
22,leafcn,,1.0,,,,,,,,1.0,,2,leafcn,Leaf C:N,Carbon and nitrogen allocation,Plant carbon and nitrogen allocation,Plant,
23,liq_canopy_storage_scalar,2.0,,1.0,2.0,1.0,1.0,,,,1.0,1.0,9,liq_canopy_storage_scalar,Maximum storage of liquid water on leaf surface,Hydrology,Canopy hydrology/canopy evaporation,Plant canopy,
24,lmr_intercept_atkin,,,,,,,,,1.0,,,1,lmr_intercept_atkin,canopy leaf maintenance respiration base rate,Stomatal resistance and photosynthesis,Plant stomatal conductance and water use efficiency,Plant,
25,lmrha,,,,,,,,,1.0,,,1,lmrha,activation energy for lmr,Temperature acclimation,Plant temperature acclimation,Plant,
26,lmrhd,7.0,10.0,7.0,5.0,1.0,7.0,10.0,5.0,8.0,11.0,10.0,81,lmrhd,deactivation energy for lmr,Temperature acclimation,Plant temperature acclimation,Plant,
27,lmrse,11.0,14.0,7.0,7.0,1.0,9.0,14.0,10.0,12.0,12.0,13.0,110,lmrse,entropy term for lmr,Stomatal resistance and photosynthesis,Plant stomatal conductance and water use efficiency,Plant,
28,maximum_leaf_wetted_fraction,4.0,2.0,,6.0,2.0,6.0,,3.0,2.0,,1.0,26,maximum_leaf_wetted_fraction,Maximum fraction of leaf that may be wet prior to drip occuring,Hydrology,Canopy hydrology/canopy evaporation,Plant canopy,
29,medlynintercept,8.0,1.0,3.0,9.0,,10.0,8.0,6.0,3.0,3.0,2.0,53,medlynintercept,Medlyn intercept of conductance-photosynthesis relationship,Stomatal resistance and photosynthesis,Plant stomatal conductance and water use efficiency,Plant,
30,medlynslope,8.0,2.0,1.0,9.0,3.0,3.0,1.0,2.0,1.0,,1.0,31,medlynslope,Medlyn slope of conductance-photosynthesis relationship,Stomatal resistance and photosynthesis,Plant stomatal conductance and water use efficiency,Plant,
31,n_melt_coef,,,,,,,1.0,,,,,1,n_melt_coef,Parameter controlling shape of snow covered area,Snow processes,Snow processes,Snow,
32,nstem,,,1.0,,,4.0,10.0,1.0,1.0,4.0,,21,nstem,Stem number; number of individuals per meter squared (similar to stocking number) [#/m2],Biomass heat storage,Biomass heat storage,Ecosystem,
33,om_frac_sf,,,,,,1.0,,1.0,,,,2,om_frac_sf,Scalar adjustment factor for om_frac,Hydrology,Soil and surface water hydrology,Soil,Not sure if Soil and surface water hydrology or Soil decomposition
34,q10_mr,,,,,,,,,1.0,1.0,1.0,3,q10_mr,Q10 for maintenance respiration,Decomposition,Plant respiration,Plant,Not sure if Plant respiration or Soil decomposition (used in both?)
35,rho_max,,1.0,,,,,,,1.0,1.0,,3,rho_max,wind drift compaction / maximum density,Snow processes,Snow processes,Snow,
36,rholnir,,,8.0,,,,,,,,7.0,15,rholnir,Leaf reflectance: near-IR,Radiation parameters,Plant optical properties,Plant,
37,rholvis,,,3.0,,,,,,1.0,,1.0,5,rholvis,Leaf reflectance: visible,Radiation parameters,Plant optical properties,Plant,
38,rhosnir,,,8.0,1.0,,,,,,,7.0,16,rhosnir,Stem reflectance: near-IR,Radiation parameters,Plant optical properties,Plant,
39,rstem,,,,,,1.0,,,,2.0,,3,rstem,Resistance of stems to heat transfer per dbh [s/m/m],Biomass heat storage,Biomass heat storage,Plant,
40,slopebeta,,1.0,1.0,2.0,,3.0,1.0,1.0,1.0,,2.0,12,slopebeta,Exponent for microtopography pdf sigma,Hydrology,Soil and surface water hydrology,Soil,
41,slopemax,,,,,,1.0,,,,,,1,slopemax,Max topographic slope for microtopography pdf sigma,Hydrology,Soil and surface water hydrology,Soil,
42,snw_rds_refrz,2.0,2.0,3.0,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,20,snw_rds_refrz,effective radius of re-frozen snow [microns],Snow processes,Snow processes,Snow,
43,stem_leaf,,,,,,,,,1.0,,,1,stem_leaf,stem:leaf ratio,Carbon and nitrogen allocation,Plant carbon and nitrogen allocation,Plant,
44,sucsat_sf,4.0,4.0,4.0,3.0,2.0,10.0,1.0,5.0,2.0,4.0,4.0,43,sucsat_sf,Scalar adjustment factor for sucsat,Hydrology,Soil and surface water hydrology,Soil,
45,taulnir,,,11.0,,,,,,,,8.0,19,taulnir,Leaf transmittance: near-IR,Radiation parameters,Plant optical properties,Plant,
46,tausnir,,,1.0,,,,,,,,,1,tausnir,Stem transmittance: near-IR,Radiation parameters,Plant optical properties,Plant,
47,theta_cj,,,,,,,,,,1.0,,1,theta_cj,"empirical curvature parameter for ac, aj photosynthesis co-limitation",Stomatal resistance and photosynthesis,Plant photosynthesis numerical implementation,Plant,
48,tpu25ratio,1.0,2.0,,,,,,1.0,1.0,,,5,tpu25ratio,triose phosphate utilization at 25C,Stomatal resistance and photosynthesis,Plant photosynthetic capacity,Plant,
49,tpuha,1.0,7.0,2.0,2.0,,,4.0,2.0,5.0,4.0,4.0,31,tpuha,activation energy for tpu,Temperature acclimation,Plant temperature acclimation,Plant,
50,upplim_destruct_metamorph,2.0,2.0,3.0,3.0,,2.0,,5.0,4.0,1.0,4.0,26,upplim_destruct_metamorph,Upper lim. for snow densification through desctructive metamorphism,Snow processes,Snow processes,Snow,
51,vcmaxha,1.0,4.0,2.0,3.0,1.0,,8.0,2.0,5.0,5.0,5.0,36,vcmaxha,activation energy for vcmax,Temperature acclimation,Plant temperature acclimation,Plant,
52,vcmaxhd,,2.0,,1.0,,,,1.0,,1.0,1.0,6,vcmaxhd,deactivation energy for vcmax,Temperature acclimation,Plant temperature acclimation,Plant,
