key,param,minmax
OAAT0000,default,default
OAAT0001,taulnir,min
OAAT0002,taulnir,max
OAAT0003,taulvis,min
OAAT0004,taulvis,max
OAAT0005,tausnir,min
OAAT0006,tausnir,max
OAAT0007,tausvis,min
OAAT0008,tausvis,max
OAAT0009,rholnir,min
OAAT0010,rholnir,max
OAAT0011,rholvis,min
OAAT0012,rholvis,max
OAAT0013,rhosnir,min
OAAT0014,rhosnir,max
OAAT0015,rhosvis,min
OAAT0016,rhosvis,max
OAAT0017,xl,min
OAAT0018,xl,max
OAAT0019,displar,min
OAAT0020,displar,max
OAAT0021,dleaf,min
OAAT0022,dleaf,max
OAAT0023,z0mr,min
OAAT0024,z0mr,max
OAAT0025,csoilc,min
OAAT0026,csoilc,max
OAAT0027,cv,min
OAAT0028,cv,max
OAAT0029,a_coef,min
OAAT0030,a_exp,max
OAAT0031,zlnd,min
OAAT0032,zlnd,max
OAAT0033,zsno,min
OAAT0034,zsno,max
OAAT0035,d_max,min
OAAT0036,d_max,max
OAAT0037,frac_sat_soil_dsl_init,min
OAAT0038,frac_sat_soil_dsl_init,max
OAAT0039,lai_dl,max
OAAT0040,z_dl,min
OAAT0041,z_dl,max
OAAT0042,zetamaxstable,min
OAAT0043,zetamaxstable,max
OAAT0044,wind_min,min
OAAT0045,wind_min,max
OAAT0046,tkd_sand,min
OAAT0047,tkd_sand,max
OAAT0048,tkd_clay,min
OAAT0049,tkd_clay,max
OAAT0050,tkd_om,min
OAAT0051,tkd_om,max
OAAT0052,tkm_om,min
OAAT0053,tkm_om,max
OAAT0054,pd,min
OAAT0055,pd,max
OAAT0056,csol_om,min
OAAT0057,csol_om,max
OAAT0058,csol_sand,min
OAAT0059,csol_sand,max
OAAT0060,csol_clay,min
OAAT0061,csol_clay,max
OAAT0062,bsw_sf,min
OAAT0063,bsw_sf,max
OAAT0064,hksat_sf,min
OAAT0065,hksat_sf,max
OAAT0066,sucsat_sf,min
OAAT0067,sucsat_sf,max
OAAT0068,watsat_sf,min
OAAT0069,watsat_sf,max
OAAT0070,baseflow_scalar,min
OAAT0071,baseflow_scalar,max
OAAT0072,maximum_leaf_wetted_fraction,min
OAAT0073,maximum_leaf_wetted_fraction,max
OAAT0074,interception_fraction,min
OAAT0075,aq_sp_yield_min,min
OAAT0076,fff,min
OAAT0077,fff,max
OAAT0078,liq_canopy_storage_scalar,min
OAAT0079,liq_canopy_storage_scalar,max
OAAT0080,snow_canopy_storage_scalar,min
OAAT0081,snow_canopy_storage_scalar,max
OAAT0084,e_ice,min
OAAT0085,e_ice,max
OAAT0086,n_baseflow,max
OAAT0087,n_melt_coef,min
OAAT0088,n_melt_coef,max
OAAT0089,accum_factor,max
OAAT0090,eta0_vionnet,min
OAAT0091,eta0_vionnet,max
OAAT0092,drift_gs,min
OAAT0093,drift_gs,max
OAAT0094,ssi,min
OAAT0095,ssi,max
OAAT0096,wimp,min
OAAT0097,wimp,max
OAAT0098,upplim_destruct_metamorph,min
OAAT0099,upplim_destruct_metamorph,max
OAAT0100,wind_snowcompact_fact,max
OAAT0101,rho_max,min
OAAT0102,rho_max,max
OAAT0103,tau_ref,min
OAAT0104,tau_ref,max
OAAT0105,snowcan_unload_wind_fact,min
OAAT0106,snowcan_unload_wind_fact,max
OAAT0107,snowcan_unload_temp_fact,min
OAAT0108,snowcan_unload_temp_fact,max
OAAT0111,snw_rds_refrz,min
OAAT0112,snw_rds_refrz,max
OAAT0113,scvng_fct_mlt_sf,min
OAAT0114,scvng_fct_mlt_sf,max
OAAT0115,ceta,min
