param,Description,Category1,Category2,Component,Notes
nstem,Stem number; number of individuals per meter squared (similar to stocking number) [#/m2],Biomass heat storage,Biomass heat storage,Ecosystem,
fsr_pft,Fire spread rate (m/s),Fire,Fire,Ecosystem,
ignition_efficiency,Ignition efficiency,Fire,Fire,Ecosystem,
lfuel,lower threshold of fuel mass (gC/m2) for ignition,Fire,Fire,Ecosystem,
non_boreal_peatfire_c,c parameter for non-boreal peatland fire in Li et. al. (2013) (/hr),Fire,Fire,Ecosystem,
occur_hi_gdp_tree,fire occurance for high GDP areas that are tree dominated (fraction),Fire,Fire,Ecosystem,
pot_hmn_ign_counts_alpha,Potential human ignition counts (alpha in Li et. al. 2012),Fire,Fire,Ecosystem,
prh30,factor related to dependence of fuel combustibility on 30-day running mean of relative humidity,Fire,Fire,Ecosystem,
rh_hgh,Relative humidty high (%),Fire,Fire,Ecosystem,
rh_low,Relative humidty low (%),Fire,Fire,Ecosystem,
ufuel,upper threshold of fuel mass(gC/m2) for ignition,Fire,Fire,Ecosystem,
a_coef,Drag coefficient under less dense canopy,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Ecosystem,
a_exp,Drag exponent under less dense canopy,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Ecosystem,
csoilc,Drag coefficient for soil under dense canopy,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Ecosystem,
wind_min,Lower limit on wind speed at the forcing height,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Ecosystem,
zetamaxstable,"Max value zeta (""height"" used in Monin-Obukhov theory) can go to under stable conditions. Setting this value prevents the surface from becoming too stable at night, which suppresses mixing and contributes to cold nighttime temperature bias.","Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Ecosystem,
dleaf,Characteristic dimension of leaves in the direction of wind flow,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Ecosystem,
boreal_peatfire_c,c parameter for boreal peatland fire in Li et. al. (2013) (/hr),Fire,Fire,Ecosystem,
cc_dstem,Combustion completeness factor for dead stem,Fire,Fire,Ecosystem,
cropfire_a1,a1 parameter for cropland fire,Fire,Fire,Ecosystem,
fd_pft,Fire duration (hr),Fire,Fire,Ecosystem,
wood_density,Wood density [kg/m3],Biomass heat storage,Biomass heat storage,Plant,
fbw,Fraction of biomass that is water,Biomass heat storage,Biomass heat storage,Plant,
rstem,Resistance of stems to heat transfer per dbh [s/m/m],Biomass heat storage,Biomass heat storage,Plant,
croot_stem,Allocation parameter: new coarse root C per new stem C,Carbon and nitrogen allocation,Plant carbon and nitrogen allocation,Plant,
flivewd,Allocation parameter: fraction of new wood that is live (phloem and ray parenchyma),Carbon and nitrogen allocation,Plant carbon and nitrogen allocation,Plant,
froot_leaf,Allocation parameter: new fine root C per new leaf C,Carbon and nitrogen allocation,Plant carbon and nitrogen allocation,Plant,
frootcn,Fine root C:N,Carbon and nitrogen allocation,Plant carbon and nitrogen allocation,Plant,
leafcn,Leaf C:N,Carbon and nitrogen allocation,Plant carbon and nitrogen allocation,Plant,
stem_leaf,stem:leaf ratio,Carbon and nitrogen allocation,Plant carbon and nitrogen allocation,Plant,
ck,Weibull curve shape parameter. Determines slope of vulnerability curve (conductivity vs. water potential).,Plant hydraulics,Plant hydraulics,Plant,
kmax,Plant segment max conductance,Plant hydraulics,Plant hydraulics,Plant,
krmax,Root segment max conductance,Plant hydraulics,Plant hydraulics,Plant,
psi50,Water potential at 50% loss of conductance,Plant hydraulics,Plant hydraulics,Plant,
rootprof_beta,"Rooting beta parameter, for C and N vertical discretization",Plant hydraulics,Plant hydraulics,Plant,
r_mort,background mortality,Mortality,Plant mortality,Plant,
akc_active,Constant relating root C to arbuscular mycorrhizal root active uptake cost.,Fixation and uptake of nitrogen,Plant nitrogen fixation and uptake,Plant,
fun_cn_flex_a,Parameter 'a' of FUN-flexcn code linking leafCN content and N cost to FUN C expenditure,Fixation and uptake of nitrogen,Plant nitrogen fixation and uptake,Plant,
fun_cn_flex_b,Parameter 'b' of FUN-flexcn linking leafCN content and N cost to FUN C expenditure,Fixation and uptake of nitrogen,Plant nitrogen fixation and uptake,Plant,
kc_nonmyc,Constant relating root C to non-mycorrhizal root active uptake cost.,Fixation and uptake of nitrogen,Plant nitrogen fixation and uptake,Plant,
kn_nonmyc,Constant relating soil layer Nitrogen content to non-mycorrhizal root active uptake cost.,Fixation and uptake of nitrogen,Plant nitrogen fixation and uptake,Plant,
akn_active,Constant relating soil layer Nitrogen content to arbuscular mycorrhizal root active uptake cost.,Fixation and uptake of nitrogen,Plant nitrogen fixation and uptake,Plant,
ekc_active,Constant relating root C to ectomycorrhizal root active uptake cost.,Fixation and uptake of nitrogen,Plant nitrogen fixation and uptake,Plant,
ekn_active,Constant relating soil layer Nitrogen content to ectomycorrhizal root active uptake cost.,Fixation and uptake of nitrogen,Plant nitrogen fixation and uptake,Plant,
FUN_fracfixers,fraction of carbon available for N fixation,Fixation and uptake of nitrogen,Plant nitrogen fixation and uptake,Plant,
KCN,"multiple parameters perturbed together: set of 6 parameters, controlling N uptake (kc_nonmyc, kn_nonmyc, akc_active, akn_active, ekc_active, ekn_active)",Fixation and uptake of nitrogen,Plant nitrogen fixation and uptake,Plant,
