,param_name,biome,criteria,rank,variable,measure
0,zetamaxstable,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,1,EFLX_LH_TOT,mean
1,zsno,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,2,EFLX_LH_TOT,mean
2,snw_rds_refrz,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,3,EFLX_LH_TOT,mean
3,upplim_destruct_metamorph,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,4,EFLX_LH_TOT,mean
4,d_max,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,5,EFLX_LH_TOT,mean
5,zsno,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,1,EFLX_LH_TOT,iav
6,zetamaxstable,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,2,EFLX_LH_TOT,iav
7,snw_rds_refrz,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,3,EFLX_LH_TOT,iav
8,hksat_sf,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,4,EFLX_LH_TOT,iav
9,upplim_destruct_metamorph,Ice sheet,EFLX_LH_TOT_mean_Ice sheet,5,EFLX_LH_TOT,iav
10,kmax,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,1,EFLX_LH_TOT,mean
11,vcmaxse_sf,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,2,EFLX_LH_TOT,mean
12,jmaxse_sf,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,3,EFLX_LH_TOT,mean
13,medlynslope,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,4,EFLX_LH_TOT,mean
14,liq_canopy_storage_scalar,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,5,EFLX_LH_TOT,mean
15,maximum_leaf_wetted_fraction,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,1,EFLX_LH_TOT,iav
16,jmaxse_sf,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,2,EFLX_LH_TOT,iav
17,vcmaxse_sf,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,3,EFLX_LH_TOT,iav
18,cv,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,4,EFLX_LH_TOT,iav
19,kmax,Tropical rain forest,EFLX_LH_TOT_mean_Tropical rain forest,5,EFLX_LH_TOT,iav
20,vcmaxse_sf,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,1,EFLX_LH_TOT,mean
21,kmax,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,2,EFLX_LH_TOT,mean
22,jmaxse_sf,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,3,EFLX_LH_TOT,mean
23,medlynslope,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,4,EFLX_LH_TOT,mean
24,medlynintercept,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,5,EFLX_LH_TOT,mean
25,frac_sat_soil_dsl_init,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,1,EFLX_LH_TOT,iav
26,maximum_leaf_wetted_fraction,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,2,EFLX_LH_TOT,iav
27,sucsat_sf,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,3,EFLX_LH_TOT,iav
28,baseflow_scalar,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,4,EFLX_LH_TOT,iav
29,d_max,Tropical seasonal forest/savanna,EFLX_LH_TOT_mean_Tropical seasonal forest/savanna,5,EFLX_LH_TOT,iav
30,fff,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,1,EFLX_LH_TOT,mean
31,sucsat_sf,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,2,EFLX_LH_TOT,mean
32,vcmaxse_sf,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,3,EFLX_LH_TOT,mean
33,jmaxse_sf,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,4,EFLX_LH_TOT,mean
34,krmax,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,5,EFLX_LH_TOT,mean
35,hksat_sf,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,1,EFLX_LH_TOT,iav
36,decomp_depth_efolding,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,2,EFLX_LH_TOT,iav
37,fff,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,3,EFLX_LH_TOT,iav
38,medlynslope,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,4,EFLX_LH_TOT,iav
39,krmax,Subtropical desert,EFLX_LH_TOT_mean_Subtropical desert,5,EFLX_LH_TOT,iav
40,maximum_leaf_wetted_fraction,Temperate rain forest,EFLX_LH_TOT_mean_Temperate rain forest,1,EFLX_LH_TOT,mean
41,medlynintercept,Temperate rain forest,EFLX_LH_TOT_mean_Temperate rain forest,2,EFLX_LH_TOT,mean
42,jmaxb0,Temperate rain forest,EFLX_LH_TOT_mean_Temperate rain forest,3,EFLX_LH_TOT,mean
43,lmrse,Temperate rain forest,EFLX_LH_TOT_mean_Temperate rain forest,4,EFLX_LH_TOT,mean
44,wc2wjb0,Temperate rain forest,EFLX_LH_TOT_mean_Temperate rain forest,5,EFLX_LH_TOT,mean
45,maximum_leaf_wetted_fraction,Temperate rain forest,EFLX_LH_TOT_mean_Temperate rain forest,1,EFLX_LH_TOT,iav
46,medlynintercept,Temperate rain forest,EFLX_LH_TOT_mean_Temperate rain forest,2,EFLX_LH_TOT,iav
47,jmaxb0,Temperate rain forest,EFLX_LH_TOT_mean_Temperate rain forest,3,EFLX_LH_TOT,iav
48,dleaf,Temperate rain forest,EFLX_LH_TOT_mean_Temperate rain forest,4,EFLX_LH_TOT,iav
49,wc2wjb0,Temperate rain forest,EFLX_LH_TOT_mean_Temperate rain forest,5,EFLX_LH_TOT,iav
50,lmrse,Temperate seasonal forest,EFLX_LH_TOT_mean_Temperate seasonal forest,1,EFLX_LH_TOT,mean
51,medlynintercept,Temperate seasonal forest,EFLX_LH_TOT_mean_Temperate seasonal forest,2,EFLX_LH_TOT,mean
52,jmaxb0,Temperate seasonal forest,EFLX_LH_TOT_mean_Temperate seasonal forest,3,EFLX_LH_TOT,mean
53,lmrhd,Temperate seasonal forest,EFLX_LH_TOT_mean_Temperate seasonal forest,4,EFLX_LH_TOT,mean
54,medlynslope,Temperate seasonal forest,EFLX_LH_TOT_mean_Temperate seasonal forest,5,EFLX_LH_TOT,mean
55,medlynintercept,Temperate seasonal forest,EFLX_LH_TOT_mean_Temperate seasonal forest,1,EFLX_LH_TOT,iav
56,sucsat_sf,Temperate seasonal forest,EFLX_LH_TOT_mean_Temperate seasonal forest,2,EFLX_LH_TOT,iav
57,kmax,Temperate seasonal forest,EFLX_LH_TOT_mean_Temperate seasonal forest,3,EFLX_LH_TOT,iav
58,liq_canopy_storage_scalar,Temperate seasonal forest,EFLX_LH_TOT_mean_Temperate seasonal forest,4,EFLX_LH_TOT,iav
59,medlynslope,Temperate seasonal forest,EFLX_LH_TOT_mean_Temperate seasonal forest,5,EFLX_LH_TOT,iav
60,lmrse,Woodland/shrubland,EFLX_LH_TOT_mean_Woodland/shrubland,1,EFLX_LH_TOT,mean
61,lmrhd,Woodland/shrubland,EFLX_LH_TOT_mean_Woodland/shrubland,2,EFLX_LH_TOT,mean
62,jmaxb0,Woodland/shrubland,EFLX_LH_TOT_mean_Woodland/shrubland,3,EFLX_LH_TOT,mean
63,fff,Woodland/shrubland,EFLX_LH_TOT_mean_Woodland/shrubland,4,EFLX_LH_TOT,mean
64,wc2wjb0,Woodland/shrubland,EFLX_LH_TOT_mean_Woodland/shrubland,5,EFLX_LH_TOT,mean
65,lmrse,Woodland/shrubland,EFLX_LH_TOT_mean_Woodland/shrubland,1,EFLX_LH_TOT,iav
66,lmrhd,Woodland/shrubland,EFLX_LH_TOT_mean_Woodland/shrubland,2,EFLX_LH_TOT,iav
67,kmax,Woodland/shrubland,EFLX_LH_TOT_mean_Woodland/shrubland,3,EFLX_LH_TOT,iav
68,jmaxb0,Woodland/shrubland,EFLX_LH_TOT_mean_Woodland/shrubland,4,EFLX_LH_TOT,iav
69,vcmaxse_sf,Woodland/shrubland,EFLX_LH_TOT_mean_Woodland/shrubland,5,EFLX_LH_TOT,iav
70,fff,Temperate grassland/desert,EFLX_LH_TOT_mean_Temperate grassland/desert,1,EFLX_LH_TOT,mean
71,lmrse,Temperate grassland/desert,EFLX_LH_TOT_mean_Temperate grassland/desert,2,EFLX_LH_TOT,mean
72,lmrhd,Temperate grassland/desert,EFLX_LH_TOT_mean_Temperate grassland/desert,3,EFLX_LH_TOT,mean
73,jmaxb0,Temperate grassland/desert,EFLX_LH_TOT_mean_Temperate grassland/desert,4,EFLX_LH_TOT,mean
74,vcmaxse_sf,Temperate grassland/desert,EFLX_LH_TOT_mean_Temperate grassland/desert,5,EFLX_LH_TOT,mean
75,jmaxb0,Temperate grassland/desert,EFLX_LH_TOT_mean_Temperate grassland/desert,1,EFLX_LH_TOT,iav
76,lmrse,Temperate grassland/desert,EFLX_LH_TOT_mean_Temperate grassland/desert,2,EFLX_LH_TOT,iav
77,lmrhd,Temperate grassland/desert,EFLX_LH_TOT_mean_Temperate grassland/desert,3,EFLX_LH_TOT,iav
78,wc2wjb0,Temperate grassland/desert,EFLX_LH_TOT_mean_Temperate grassland/desert,4,EFLX_LH_TOT,iav
79,sucsat_sf,Temperate grassland/desert,EFLX_LH_TOT_mean_Temperate grassland/desert,5,EFLX_LH_TOT,iav
80,lmrse,Boreal forest,EFLX_LH_TOT_mean_Boreal forest,1,EFLX_LH_TOT,mean
81,jmaxb0,Boreal forest,EFLX_LH_TOT_mean_Boreal forest,2,EFLX_LH_TOT,mean
82,lmrhd,Boreal forest,EFLX_LH_TOT_mean_Boreal forest,3,EFLX_LH_TOT,mean
83,medlynintercept,Boreal forest,EFLX_LH_TOT_mean_Boreal forest,4,EFLX_LH_TOT,mean
84,medlynslope,Boreal forest,EFLX_LH_TOT_mean_Boreal forest,5,EFLX_LH_TOT,mean
85,lmrse,Boreal forest,EFLX_LH_TOT_mean_Boreal forest,1,EFLX_LH_TOT,iav
86,lmrhd,Boreal forest,EFLX_LH_TOT_mean_Boreal forest,2,EFLX_LH_TOT,iav
87,medlynintercept,Boreal forest,EFLX_LH_TOT_mean_Boreal forest,3,EFLX_LH_TOT,iav
88,jmaxb0,Boreal forest,EFLX_LH_TOT_mean_Boreal forest,4,EFLX_LH_TOT,iav
89,kmax,Boreal forest,EFLX_LH_TOT_mean_Boreal forest,5,EFLX_LH_TOT,iav
90,lmrse,Tundra,EFLX_LH_TOT_mean_Tundra,1,EFLX_LH_TOT,mean
91,jmaxb0,Tundra,EFLX_LH_TOT_mean_Tundra,2,EFLX_LH_TOT,mean
92,vcmaxha,Tundra,EFLX_LH_TOT_mean_Tundra,3,EFLX_LH_TOT,mean
